Wordnet Affect BR;Valência
abalado;-
abatido;-
abominação;-
abrandamento;+
acanhado;-
acanhamento;-
acrimonioso;-
admiração;+
admirado;+
admirável;+
adorável;+
adversidade;-
afeição;+
afeiçoado;+
afetuoso;+
aflição;-
aflito;-
afortunado;+
agonia;-
agoniado;-
agonizante;-
agradável;+
agradecido;+
ajuda;+
alarmante;-
alegre;+
alegria;+
alegria pelo mau alheio;-
aliviado;+
alívio;+
altivo;+
amado;+
amargo;-
amargura;-
amável;+
amor;+
amoroso;+
angústia;-
angustiado;-
angustiante;-
animado;+
ansiedade;-
antecipativo;+
apaixonado;+
apavorado;-
apavorante;-
aprazível;+
apreciação;+
apreciativo;+
apreço;+
ardor;+
arrependido;-
arrependimento;-
assistência humanitária;+
assombro;-
assustador;-
atenção;+
atenuado;+
atração;+
atração física;+
atraído;+
auto-complacência;-
autodepreciação;-
auto-reprovação;-
auto-satisfação;+
auxílio;+
aversão;-
azarado;-
beatífico;+
beatitude;+
bem-aventurança;+
brabo;-
bravo;+
caloroso;+
carinhoso;+
cativado;+
coitado;-
colérico;-
comiseração;-
compaixão;-
compensação;+
complacente;+
compunção;-
concupiscência;-
confiança;+
conflito;-
consciência pesada;-
consternação;-
constrangido;-
constrangimento;-
contentamento;+
contente;+
contrariado;-
contrito;-
coração mole;+
covarde;-
covardemente;-
covardia;-
cuidadoso;+
culpa;-
culpado;-
de dar pena;-
decepção;-
decepcionado;-
dedicado;+
deleite;+
delicado;+
deplorável;-
derrotado;-
desafortunado;-
desapontado;-
descanso;+
desconsolado;-
desejo;+
desejo sexual;+
desembaraço;+
desgraça;-
desgraçado;-
desonra;-
desonrado;-
desprezível;-
devotadíssimo;+
devotado;+
dívida;-
elação;+
elevação;+
elevado;+
enamorado;+
encabulado;-
encantado;+
enfezado;-
enfurecido;-
enlouquecido;-
entusiasmo;+
envergonhado;-
espanto;-
esperança;+
esperançoso;+
esplendor;+
estima;+
estranheza;-
estressado;-
exaltado;+
exasperado;-
excitação;+
execração;-
expectante;+
expectativa;+
expiação;-
exultação;+
exultante;+
felicidade;+
feliz;+
fraco;-
frustrado;-
fúria;-
furioso;-
galante;+
gana;-
gosto;+
gratidão;+
gratificação;+
gratificante;+
grato;+
horrendo;-
horrível;-
horror;-
horroroso;-
hostilidade;-
humilhação;-
humilhado;-
idolátrico;+
ignóbil;-
ignomínia;-
impressionante;+
incitado;+
indenização;-
indignado;-
infâmia;-
infeliz;-
inferior;-
inflamado;-
inimizade;-
inquieto;-
insegurança;-
inseguro;-
integração;-
inveja;-
ira;-
irado;-
irascível;-
irritação;-
irritadiço;-
irritado;-
irritável;-
jovialidade;+
júbilo;+
jubiloso;+
lamentável;-
lastimoso;-
louco;-
louco de raiva;-
mágoa;-
majestoso;+
mal;-
malevolência;-
malignidade;-
medo;-
medonho;-
medroso;-
miserável;-
misericórdia;-
moderação;+
muito mal;-
na expectativa;-
namorico;+
namoro;+
nobre;+
obsessão;-
ódio;-
ofendido;-
olho grande;-
orgulho;+
orgulhoso;+
orgulhoso de;+
otimista;+
paixão;+
pânico;-
paternal;+
patético;-
patos;-
pavor;-
pavoroso;-
pena;-
penitência;-
penitente;-
perturbado;-
pesaroso;-
piedade;-
pobre;-
prazer;+
prazer no sofrimento alheio;-
preocupação;-
preocupado;-
presunção;-
presunçoso;-
problema;-
radiante;+
raiva;-
raivoso;-
rancor;-
rancoroso;-
realização;+
receoso;-
regozijo;-
remorso;-
repugnância;-
ressentido;-
ressentimento;-
reverência;+
revoltado;-
romântico;+
satisfação;+
satisfeito;+
sentimento de culpa;-
soberba;-
socorro;+
sofrimento;-
solidariedade;+
sossego;+
suavizado;+
submisso a esposa;-
temeroso;-
temível;-
temor;-
terno;+
terrível;-
terror;-
tormento;-
tortura;-
triste;-
tristeza;-
vaidoso;-
veneração;+
venturoso;+
vergonha;-
vermelho de raiva;-
zangado;-
zeloso;+
