Tweets|Polaridade
PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça.|Negativo
BB e governo de Minas travam disputa sobre depósitos judiciais.|Negativo
Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros. Dois... Helicópteros... Minas Gerais... |Negativo
Uso de aeronave pertencente ao Estado de MG, em domingo, p/ fins pessoais, em claro desvio de finalidade.|Negativo
Prefeito de Aimorés decreta estado de emergência administrativa.|Negativo
Risco de calote de Estados com a União cresce.|Negativo
E em minas governador usa helicóptero do governo para buscar filho em festa.|Negativo
Ele já saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra.|Negativo
Em MG, a criminalidade aumentou com o PT.|Negativo
Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro.|Negativo
Isso joão, contamos com vocês pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, no governo de MG.|Negativo
Pezão quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do Governador de MG.|Negativo
Minas já sabe bem o que é ter um governador aspirador de pó...|Negativo
Não tem que perdoar a divida se tem tanto dinheiro para helicóptero.|Negativo
Apoia o governo corrupto do Fernando Pimentel em MG? Apoia que use helicóptero para buscar filho em balada?|Negativo
E o governador de MG? Comprar helicópteros pode né? Basta ser petista!|Negativo
Não sabem nada. Nem se há crise mesmo nos Estados. Pelo jeito, não. Em MG o governo esbanja.|Negativo
Participou junto com a anta (Dilmês) de terrorismo no Brasil. hoje infelizmente o povo de Minas o elegeu Governador.|Negativo
Agora aguentem, mas não podemos esquecer que ele declarou estado de emergência em Minas, e vejam a hipocrisia desse safado.|Negativo
Aproximadamente R$ 1,5 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do g…|Negativo
Governo de Minas Gerais aposta nos Arranjos Produtivos Locais.|Positivo
Governo de Minas investiga casos suspeitos de febre amarela e malária no estado.|Positivo
A Secretaria de Estado de Cultura de MG recebe sugestões sobre a Lei Estadual de Incentivo à Cultura.|Positivo
Advocacia Geral do Estado de Minas Gerais - AGE - Atuação conjunta AGE e SEF resulta em expressiva arrecadação.|Positivo
Codevasf e Governo de Minas Gerais discutem retomada do convênio para construção da barragem do Jequitaí.|Positivo
Jeitinho Kalil: novo prefeito de BH almoça de marmitex e elimina traje formal.|Positivo
MG é o quarto estado a garantir o direito à amamentação em público.|Positivo
Com apoio do @governomg, BH-TEC anuncia expansão baseada em modelo pioneiro no Brasil.|Positivo
O Governo de #Minas vai liberar R$ 770.452,56 para obras na #Escola Est. Pedro Lessa, em São Miguel do Anta. Saiba +|Positivo
SUS Minas Gerais recebe recurso máximo disponibilizado pelo Governo Federal para ações da #VigilânciaSanitária.|Positivo
Trabalho de procurador - Atuação em defesa de Minas Gerais resulta em expressiva arrecadação de valores.|Positivo
Ação do Governo de Minas Gerais beneficiará 12 mil agricultores familiares.|Positivo
Inaugurada a farmácia dos servidores de Governador Valadares: Uma ideia ambiciosa… |Positivo
Governo de MG prevê aterro e estações de lixo para o Centro-Oeste.|Positivo
Agência SaúdeForça Nacional do SUS reforça ajuda ao estado de Minas Gerais.|Positivo
Governo de MG anuncia investimento de RS 6 milhões para Fumacê pra matar mosquitos em Vale do Aço e Mucuri.|Positivo
Novos soldados da Polícia Militar se apresentam para empenho e ao Governador do Estado.|Positivo
12 mil agricultores familiares serão beneficiados com ação do Governo de Minas.|Positivo
Governo anuncia aumento do policiamento em Belo Horizonte.|Positivo
Governo de Minas afirma que surto de febre amarela está sob controle.|Positivo
Modelo de segurança será o nosso legado, diz Cláudio Beato.|Neutro
O governo de Minas Gerais não comentou o assunto|Neutro
O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação…|Neutro
Praia da Estação" lota neste sábado de verão em BH.|Neutro
Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos…|Neutro
Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…|Neutro
Saúde mantém estado de atenção e investiga casos de febre amarela.|Neutro
Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15…|Neutro
COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG.|Neutro
Se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.|Neutro
